feature,importance
USD_MA7,0.30750412
EUR_MA7,0.2355398
GBP_MA7,0.13727316
Year,0.12853387
GBP_NGN,0.07303793
EUR_NGN,0.07114926
USD_NGN,0.03903926
Month_January,0.005737847
Month_February,0.000394213
Month_November,0.00024634
Weekday_Wednesday,0.00020571241
Month_July,0.00015781002
Weekday_Thursday,0.0001437441
USD_Diff,0.000107413005
Day,9.7982964e-05
EUR_Diff,9.040634e-05
Weekday_Saturday,8.9152956e-05
Month_May,7.87682e-05
Month_December,7.195628e-05
Weekday_Sunday,7.060828e-05
Weekday_Tuesday,6.637258e-05
GBP_Diff,6.612726e-05
Weekday_Monday,6.524836e-05
Month_March,4.900187e-05
Is_Weekend,4.844666e-05
Month_June,4.8217145e-05
Month_August,3.6580564e-05
Month_October,3.2380718e-05
Month_September,1.829752e-05
